author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307113534/;Москва;sale;flat;16;19;2;45.8;32000000;Беговой;Ленинградский проспект;29к1;Динамо;Царская площадь
Dominanta;developer;https://www.cian.ru/sale/flat/304842271/;Москва;sale;flat;16;34;2;56.1;36913800;Раменки;проезд 4-й Сетуньский;10Ас2;Парк Победы;hideOUT
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/299515958/;Москва;sale;flat;6;6;2;65.8;46999999;Даниловский;;;Павелецкая;Опус ЖК
Sminex;developer;https://www.cian.ru/sale/flat/294328857/;Москва;sale;flat;3;6;2;124.3;270980000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833064/;Москва;sale;flat;15;28;2;64.5;49000000;Раменки;Винницкая ;8к2;Раменки;Настоящее
Hutton Development;developer;https://www.cian.ru/sale/flat/305627324/;Москва;sale;flat;4;17;2;88.1;51098000;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305646078/;Москва;sale;flat;24;24;2;57.4;37480000;Хорошево-Мневники;Шелепихинская набережная;34к3зд7;Шелепиха;Сердце Столицы
Ташир;developer;https://www.cian.ru/sale/flat/274701405/;Москва;sale;flat;2;17;2;43.3;27430550;Раменки;Мичуринский проспект;вл30Б;Ломоносовский проспект;Legacy
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307848098/;Москва;sale;flat;21;24;2;52.4;37200000;Арбат; Новый Арбат;16;Арбатская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307196512/;Москва;sale;flat;4;20;2;36.0;14260428;Головинский;Михалковская ;48С4;Коптево;Михалковский
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308064930/;Москва;sale;flat;5;24;2;75.0;48000000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
Стадион Спартак;developer;https://www.cian.ru/sale/flat/298406172/;Москва;sale;flat;4;13;2;66.7;32609630;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/306829886/;Москва;sale;flat;5;14;2;73.1;65520000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Донстрой;developer;https://www.cian.ru/sale/flat/308969989/;Москва;sale;flat;2;49;2;69.7;30939830;Раменки;Кинематографический кв-л;;Мичуринский проспект;Событие ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306226871/;Москва;sale;flat;3;14;2;106.9;160350000;Хамовники;переулок 1-й Тружеников;16;Киевская;Brodsky
Sminex;developer;https://www.cian.ru/sale/flat/306154917/;Москва;sale;flat;2;23;2;77.6;86100000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303778337/;Москва;sale;flat;9;14;2;99.9;134500000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Донстрой;developer;https://www.cian.ru/sale/flat/308969243/;Москва;sale;flat;2;16;2;85.4;63196000;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307079313/;Москва;sale;flat;9;14;2;77.0;62000000;Раменки;проспект Генерала Дорохова;39к1Г;Минская;Собрание клубных домов West Garden
Sminex;developer;https://www.cian.ru/sale/flat/308011961/;Москва;sale;flat;3;6;2;207.3;582330000;Хамовники;3-й Обыденский переулок;1С1;Кропоткинская;Клубный дом Обыденский № 1
ID 85604823;unknown;https://www.cian.ru/sale/flat/305015991/;Москва;sale;flat;26;41;2;50.0;34000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Основа;developer;https://www.cian.ru/sale/flat/289516336/;Москва;sale;flat;21;29;2;62.3;26038421;Фили-Давыдково; Ивана Франко;6;Кунцевская;MainStreet
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307826522/;Москва;sale;flat;3;9;2;148.5;189000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Capital Group;developer;https://www.cian.ru/sale/flat/307771799/;Москва;sale;flat;11;18;2;45.8;56907301;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Основа;developer;https://www.cian.ru/sale/flat/286250328/;Москва;sale;flat;13;19;2;52.9;47610000;Красносельский;проспект Академика Сахарова;7;Красные ворота;RED7
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/297469215/;Москва;sale;flat;8;9;2;64.2;77000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
КОРТРОС;developer;https://www.cian.ru/sale/flat/306796067/;Москва;sale;flat;18;51;2;45.9;25153200;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
ESSE REAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308363866/;Москва;sale;flat;3;9;2;37.0;13199000;Бабушкинский;Староватутинский проезд;3;Бабушкинская;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380230/;Москва;sale;flat;8;19;2;57.7;28388400;Щукино; Расплетина;2к1;Октябрьское поле;Театральный квартал
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303137027/;Москва;sale;flat;2;5;2;106.0;155000000;Тверской;Никольская ;10;Площадь Революции;St. Nickolas
MR Group;developer;https://www.cian.ru/sale/flat/307788196/;Москва;sale;flat;18;47;2;57.84;25912320;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
Capital Group;developer;https://www.cian.ru/sale/flat/305787512/;Москва;sale;flat;40;67;2;73.2;84180000;Пресненский;Краснопресненская набережная;14Ак1;Москва-Сити;Capital Towers
ID 112591621;homeowner;https://www.cian.ru/sale/flat/308498116/;Москва;sale;flat;13;47;2;51.0;32950000;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/308852244/;Москва;sale;flat;21;22;2;39.9;11500000;; Картмазовские Пруды;2к3;Филатов Луг;Филатов луг
ID 108847041;homeowner;https://www.cian.ru/sale/flat/307631693/;Москва;sale;flat;19;45;2;66.0;16500000;Бескудниковский;Дмитровское шоссе;вл89;Селигерская;Дмитровское шоссе, вл89
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/306387862/;Москва;sale;flat;2;9;2;45.0;15200000;Очаково-Матвеевское;Веерная ;3К5;Матвеевская;
ID 73038306;real_estate_agent;https://www.cian.ru/sale/flat/307113976/;Москва;sale;flat;4;9;2;45.0;17490000;Войковский; Зои и Александра Космодемьянских;11;Войковская;
MERSI;real_estate_agent;https://www.cian.ru/sale/flat/308549670/;Москва;sale;flat;13;33;2;40.0;17900000;Метрогородок;Открытое шоссе;18Ак4;Бульвар Рокоссовского;Лосиноостровский парк
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296565916/;Москва;sale;flat;4;8;2;65.0;39900000;Тверской;Благовещенский переулок;5;Маяковская;
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/308710234/;Москва;sale;flat;8;19;2;64.0;29800000;Богородское;1-я Мясниковская ;2;Белокаменная;Соколиный форт
ID 94542124;homeowner;https://www.cian.ru/sale/flat/308767223/;Москва;sale;flat;5;18;2;39.9;22500000;Левобережный;Фестивальная ;15К4;Речной вокзал;Фестиваль парк-2
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308686231/;Москва;sale;flat;4;9;2;47.0;26700000;Раменки; Дружбы;2/19;Ломоносовский проспект;
