author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/297622152/;Москва;sale;flat;8;9;1;34.0;9499000;Печатники; Гурьянова;39;Люблино;
MR Group;developer;https://www.cian.ru/sale/flat/308167171/;Москва;sale;flat;6;15;1;36.4;14672330;Покровское-Стрешнево;;;Тушинская;Ситизен ЖК
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303789273/;Москва;sale;flat;11;34;1;46.4;19990000;Обручевский; Архитектора Власова;71к2;Воронцовская;Ever
ID 94540335;homeowner;https://www.cian.ru/sale/flat/308493357/;Москва;sale;flat;2;16;1;39.0;11500000;Восточное Дегунино;Дубнинская ;32К7;Бескудниково;
ФСК;developer;https://www.cian.ru/sale/flat/308422170/;Москва;sale;flat;4;52;1;32.3;19115140;Хорошевский;3-й Хорошевский проезд;3А;;AMBER CITY
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525819/;Москва;sale;flat;22;22;1;19.4;8380000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/308297727/;Москва;sale;flat;5;12;1;35.0;11600000;Раменки; Пырьева;9;Поклонная;
Донстрой;developer;https://www.cian.ru/sale/flat/307565722/;Москва;sale;flat;2;19;1;55.2;60278400;Замоскворечье;Большая Татарская ;35С7-9;Новокузнецкая;Татарская 35
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/304298307/;Москва;sale;flat;13;24;1;42.9;24000000;Хорошевский;Хорошевское шоссе;25Ак1;Полежаевская;Династия
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303873158/;Москва;sale;flat;5;30;1;33.5;12000000;Покровское-Стрешнево;;;Трикотажная;Скай Гарден ЖК
MR Group;developer;https://www.cian.ru/sale/flat/308752028/;Москва;sale;flat;4;21;1;39.47;;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/306867070/;Москва;sale;flat;16;36;1;41.1;31500000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308016731/;Москва;sale;flat;2;4;1;20.5;10200000;Басманный; Радио;14С1;Бауманская;
Брусника;developer;https://www.cian.ru/sale/flat/304369747/;Москва;sale;flat;5;21;1;36.6;27290000;Даниловский;Дубининская ;вл59к2;;Дом А
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/308768570/;Москва;sale;flat;14;48;1;42.0;24500000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/307895238/;Москва;sale;flat;7;17;1;37.9;10399999;Братеево; Борисовские Пруды;20К1;Борисово;
ФСК;developer;https://www.cian.ru/sale/flat/293677259/;Москва;sale;flat;45;47;1;34.3;20360480;Обручевский;;;Калужская;Архитектор ЖК
ONE Company;real_estate_agent;https://www.cian.ru/sale/flat/308100205/;Москва;sale;flat;22;22;1;14.3;8280000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
One Life;real_estate_agent;https://www.cian.ru/sale/flat/305975024/;Москва;sale;flat;7;24;1;49.0;18000000;Хорошево-Мневники; Народного Ополчения;11;Народное Ополчение;Wellton park
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307195936/;Москва;sale;flat;5;26;1;37.6;14543191;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294621795/;Москва;sale;flat;22;22;1;19.4;8780000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Светлана Биличенко;realtor;https://www.cian.ru/sale/flat/308838116/;Москва;sale;flat;4;5;1;33.0;9600000;Восточное Измайлово;11-я Парковая ;34;Первомайская;
Prime Life Development;developer;https://www.cian.ru/sale/flat/306733105/;Москва;sale;flat;26;28;1;41.65;22378095;Нагатино-Садовники;Нагатинская ;к1вл1;Нагатинская;Первый Нагатинский
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305694039/;Москва;sale;flat;22;22;1;19.4;8880000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308691311/;Москва;sale;flat;3;5;1;53.0;12900000;Можайский;Гвардейская ;17К2;Рабочий посёлок;
MR Group;developer;https://www.cian.ru/sale/flat/306477182/;Москва;sale;flat;9;30;1;37.5;17725242;Южнопортовый;Волгоградский проспект;32/5к2;Дубровка;Метрополия
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/308490659/;Москва;sale;flat;12;12;1;42.06;20600000;Покровское-Стрешнево;Летная ;95Бк2;Спартак;ÁLIA
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/307448000/;Москва;sale;flat;4;8;1;43.1;15000000;Раменки;Мосфильмовская ;17/25;Ломоносовский проспект;
Level Group;developer;https://www.cian.ru/sale/flat/309020557/;Москва;sale;flat;3;11;1;39.0;21292440;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525825/;Москва;sale;flat;22;22;1;17.2;8780000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Мега-Балт;real_estate_agent;https://www.cian.ru/sale/flat/309029048/;Москва;sale;flat;3;17;1;38.6;10900000;Головинский;Онежская ;22;Коптево;
Capital Group;representative_developer;https://www.cian.ru/sale/flat/304746725/;Москва;sale;flat;15;51;1;44.98;26392833;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303370372/;Москва;sale;flat;4;8;1;57.0;68900000;Таганский;Тессинский переулок;1;Чкаловская;Тессинский, 1
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308105332/;Москва;sale;flat;8;14;1;38.8;13580000;Орехово-Борисово Южное;Каширское шоссе;65к3;Домодедовская;Ясный
КОРТРОС;developer;https://www.cian.ru/sale/flat/306568211/;Москва;sale;flat;2;37;1;43.6;22323200;Останкинский; Годовикова;11к5;Алексеевская;iLove
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525822/;Москва;sale;flat;22;22;1;14.3;8280000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Самолет плюс;real_estate_agent;https://www.cian.ru/sale/flat/309005573/;Москва;sale;flat;4;9;1;32.2;8600000;Бибирево;Белозерская ;9Б;Бибирево;
Основа;developer;https://www.cian.ru/sale/flat/305914855/;Москва;sale;flat;25;28;1;39.6;19800000;Головинский;Михалковская ;50;Коптево;UNO.Головинские пруды
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525823/;Москва;sale;flat;22;22;1;16.0;8880000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308499784/;Москва;sale;flat;10;14;1;42.2;11990000;Сокол;Ленинградский проспект;80к66;Сокол;
Level Group;developer;https://www.cian.ru/sale/flat/308422680/;Москва;sale;flat;13;64;1;32.5;21821923;Хорошево-Мневники;;;Народное Ополчение;Левел Звенигородская ЖК
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305694241/;Москва;sale;flat;22;22;1;20.0;9770000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Самолет Плюс  Павловский Посад;real_estate_agent;https://www.cian.ru/sale/flat/308978142/;Москва;sale;flat;7;9;1;31.8;9000000;Северное Измайлово;15-я Парковая ;50;Щёлковская;
Level Group;developer;https://www.cian.ru/sale/flat/308833110/;Москва;sale;flat;30;37;1;34.7;11655667;Нижегородский;;;Нижегородская;Левел Нижегородская ЖК
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/296124514/;Москва;sale;flat;22;22;1;17.2;8780000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Landis;real_estate_agent;https://www.cian.ru/sale/flat/308339754/;Москва;sale;flat;7;17;1;37.9;11900000;Марьино;Люблинская ;124;Марьино;
Основа;developer;https://www.cian.ru/sale/flat/304955136/;Москва;sale;flat;3;20;1;36.75;12862500;Преображенское;Потешная ;;Преображенская площадь;EvoPark Сокольники
ONE Company;real_estate_agent;https://www.cian.ru/sale/flat/300171400/;Москва;sale;flat;22;22;1;17.2;9110000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Семен Гордый;realtor;https://www.cian.ru/sale/flat/286538689/;Москва;sale;flat;9;11;1;46.1;8800000;; Семена Гордого;12;Крёкшино;Ново-Никольское
Forma;developer;https://www.cian.ru/sale/flat/305879613/;Москва;sale;flat;17;25;1;40.7;21237870;Печатники;;;Нагатинский Затон;Портлэнд ЖК
Estes;real_estate_agent;https://www.cian.ru/sale/flat/307590623/;Москва;sale;flat;18;22;1;43.4;19500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Метражи group;real_estate_agent;https://www.cian.ru/sale/flat/308167237/;Москва;sale;flat;5;7;1;34.6;9000000;Северное Измайлово;15-я Парковая ;54;Щёлковская;
St Michael;developer;https://www.cian.ru/sale/flat/303024826/;Москва;sale;flat;16;21;1;38.3;18761900;Хорошевский;9Ак6;9Ак6;Зорге;Зорге 9 ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306977986/;Москва;sale;flat;9;21;1;42.1;31900000;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
ID 19850306;homeowner;https://www.cian.ru/sale/flat/308355964/;Москва;sale;flat;13;19;1;50.2;23850000;Богородское;1-я Мясниковская ;2;Белокаменная;Соколиный форт
Группа Родина;developer;https://www.cian.ru/sale/flat/293200734/;Москва;sale;flat;3;13;1;37.3;11278100;; 1-я Ватутинская;14к1;Ватутинки;Russian Design District
Александр Савушкин;realtor;https://www.cian.ru/sale/flat/308703978/;Москва;sale;flat;14;17;1;36.6;11728000;Митино;Митинская ;33К2;Митино;
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/307458577/;Москва;sale;flat;6;9;1;33.0;11000000;Коньково; Академика Волгина;25К1;Университет Дружбы Народов;
Эталон;developer;https://www.cian.ru/sale/flat/303464897/;Москва;sale;flat;2;17;1;39.3;20143266;Даниловский; Ларионова;;Технопарк;Shagal
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/293861271/;Москва;sale;flat;9;45;1;46.3;21000000;Хорошево-Мневники; Шеногина;;Шелепиха;Sydney City
А101;developer;https://www.cian.ru/sale/flat/306745450/;Москва;sale;flat;7;9;1;34.1;6705550;;;2;Толстопальцево;Родные кварталы ЖК
AFI Development;developer;https://www.cian.ru/sale/flat/303141935/;Москва;sale;flat;14;25;1;42.6;23130778;Обручевский; Академика Челомея;1А;Воронцовская;AFI Park 
Estes;real_estate_agent;https://www.cian.ru/sale/flat/307590621/;Москва;sale;flat;18;22;1;43.2;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Основа;developer;https://www.cian.ru/sale/flat/299250693/;Москва;sale;flat;11;29;1;30.1;12837650;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
1-й ДСК;developer;https://www.cian.ru/sale/flat/306379487/;Москва;sale;flat;2;14;1;29.3;10548000;;;1;Саларьево;1-й Саларьевский ЖК
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/297704043/;Москва;sale;flat;15;21;1;36.5;17500000;Головинский;Кронштадтский бульвар;к1/2;Водный стадион;Кронштадтский 9
Парадайс;real_estate_agent;https://www.cian.ru/sale/flat/307213696/;Москва;sale;flat;6;19;1;37.5;8500000;;;к1.1;Бунинская аллея;Бунинские Кварталы ЖК
ДомДау;developer;https://www.cian.ru/sale/flat/304791539/;Москва;sale;flat;8;85;1;50.71;41304838;Пресненский;Московский международный деловой центр Москва-Сити тер.;;;Дом Дау
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306509259/;Москва;sale;flat;23;42;1;41.0;25000000;Котловка;Севастопольский проспект;22А;Крымская;Eniteo
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/307108705/;Москва;sale;flat;4;44;1;49.6;31000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Колди;developer;https://www.cian.ru/sale/flat/302241706/;Москва;sale;flat;5;21;1;30.09;9051950;Нижегородский;;;Калитники;Н'айс Лофт ЖК
Павел Михайлов;realtor;https://www.cian.ru/sale/flat/308083231/;Москва;sale;flat;4;13;1;41.1;19950000;Даниловский; Родченко;2;ЗИЛ;ЗИЛАРТ
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/308625678/;Москва;sale;flat;16;16;1;37.9;9200000;Выхино-Жулебино;Ферганская ;11К3;Юго-Восточная;
Мангазея;developer;https://www.cian.ru/sale/flat/307338731/;Москва;sale;flat;4;12;1;39.5;18884950;Левобережный;Ленинградское шоссе;57С40;Беломорская;Мангазея на Речном
МИЭЛЬ Офис Пречистенка;real_estate_agent;https://www.cian.ru/sale/flat/305868556/;Москва;sale;flat;4;8;1;40.5;9400000;;;5/2;Кедровая;Новые Ватутинки, мкр. Заречный
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/308279827/;Москва;sale;flat;2;23;1;55.0;15500000;Перово;шоссе Энтузиастов;86Ак1;Новогиреево;PerovSky
Группа Аквилон;developer;https://www.cian.ru/sale/flat/308450726/;Москва;sale;flat;21;23;1;33.5;17947847;Хорошевский;;;Зорге;Инди Тауэрс ЖК
MONEYARD;real_estate_agent;https://www.cian.ru/sale/flat/300863910/;Москва;sale;flat;6;40;1;40.49;25000000;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
Самолет плюс Троицк;real_estate_agent;https://www.cian.ru/sale/flat/307105092/;Москва;sale;flat;2;3;1;39.2;7500000;; Генерала Донскова;21к1;Апрелевка;
STONE;developer;https://www.cian.ru/sale/flat/305914270/;Москва;sale;flat;2;24;1;32.6;16906360;Сокольники; Гастелло;;Сокольники;Sokolniki
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308354835/;Москва;sale;flat;3;8;1;25.9;9990000;Аэропорт;Большой Коптевский проезд;3С7;Красный Балтиец;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304234741/;Москва;sale;flat;10;29;1;39.6;16400000;Даниловский;1-я оч.;к13;ЗИЛ;Shagal
Stenoy;developer;https://www.cian.ru/sale/flat/300878920/;Москва;sale;flat;10;12;1;34.4;19372498;Преображенское;Электрозаводская ;60;Преображенская площадь;ARTEL
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303382697/;Москва;sale;flat;9;27;1;47.1;21999000;Нагорный;Электролитный проезд;7;Нагорная;TopHills
Группа Аквилон;developer;https://www.cian.ru/sale/flat/299730098/;Москва;sale;flat;10;28;1;32.89;12350261;Нижегородский;;;Нижегородская;Аквилон Бисайд 2.0 ЖК
ФСК;developer;https://www.cian.ru/sale/flat/304742429/;Москва;sale;flat;22;29;1;34.6;19958664;Нагатино-Садовники;Варшавское шоссе;37АК1;Нагатинская;Rotterdam
